uid,true,pred_logprob,pred_decl,y_logprob,y_decl,c_ent_logprob,c_ent_decl,c_pmax_logprob,c_pmax_decl,c_decl,full_logits_abcd_logprob
test:1939,A,A,A,1,1,0.5232604383424447,0.8187533190698378,0.6345843873736842,0.95,0.95,True
test:2028,C,C,C,1,1,0.999810603582673,0.4890359525563188,0.9999794376425072,0.8,0.8,True
test:2071,C,B,C,0,1,0.44761940291377167,0.4890359525563188,0.6987521754786437,0.8,0.8,True
test:2079,C,B,B,0,0,0.7430138653522267,0.003638614004961127,0.8853551225048988,0.27450980392156865,0.27450980392156865,True
test:2181,A,A,A,1,1,0.9943703545514674,0.9549937915776076,0.9990610140355144,0.99,0.99,True
test:2279,A,A,B,1,0,0.9704544558465455,0.6912284383439926,0.9931530072584883,0.9,0.9,True
test:2557,D,D,A,1,0,0.9995400395552833,0.8225277565806551,0.9999446287529681,0.95,0.95,True
test:2635,A,B,B,0,0,0.9636450315846484,0.32161017527648017,0.9914732396930528,0.7000000000000001,0.7000000000000001,True
test:286,D,A,D,0,1,0.9974264385519032,1.0,0.9996073729870516,1.0,1.0,True
test:3079,B,B,B,1,1,0.9450250176004344,0.6912284383439926,0.9854596737852381,0.9,0.9,True
test:3109,D,D,D,1,1,0.9999934823607132,0.7469586072710477,0.9999994501092357,0.92,0.92,True
test:3124,C,C,C,1,1,0.9997559377685763,0.4041199259095133,0.9999724191077171,0.75,0.75,True
test:3257,C,A,A,0,0,0.9632554185079915,0.8225277565806551,0.9921610438451296,0.95,0.95,True
test:3464,D,D,D,1,1,0.9999908779576195,0.340482362830567,0.999999217134372,0.7,0.7,True
test:3508,B,B,B,1,1,0.9994307509766363,0.5762076600877131,0.9999325630291253,0.85,0.85,True
test:3704,D,D,C,1,0,0.9999642970532876,0.0236379021876727,0.9999965856304122,0.3,0.3,True
test:39,D,D,D,1,1,0.9999901616328657,0.5762076600877131,0.9999991102118495,0.85,0.85,True
test:4067,C,A,D,0,0,0.4389072997859659,0.5191302976854163,0.6222834041035928,0.79,0.79,True
test:4259,A,A,B,1,0,0.6533031790129993,0.9142797287290897,0.8671391981609075,0.98,0.98,True
test:4285,B,C,C,0,0,0.9979980231822236,0.5762076600877131,0.9996991806030743,0.85,0.85,True
test:4293,B,A,D,0,0,0.7815939184324696,1.0,0.909985968968342,1.0,0.25,True
test:4310,C,D,C,0,1,0.5546911235600804,1.0,0.8101319015029743,1.0,1.0,True
test:4318,B,B,C,1,0,0.2900827929422035,0.21452470277266567,0.4574594574646455,0.6,0.6,True
test:4403,C,C,C,1,1,0.9885323045819471,0.9828905303264571,0.9980459009140539,0.997,0.997,True
test:4483,B,C,C,0,0,0.9992913457580588,1.0,0.9999139997409886,1.0,1.0,True
test:459,A,A,A,1,1,0.9999920999198005,0.8187533190698378,0.9999993241279925,0.95,0.95,True
test:4755,D,D,C,1,0,0.5320948189837256,1.0,0.67609754021489,1.0,1.0,True
test:4801,D,B,A,0,0,0.8739386884451467,0.6019338952263463,0.9641594189730963,0.85,0.85,True
test:4909,C,C,C,1,1,0.9999668226379747,0.21452470277266555,0.9999968513854582,0.6,0.6,True
test:5053,B,B,B,1,1,0.9998744125294832,0.5762076600877131,0.9999864212572271,0.85,0.85,True
test:5277,D,D,D,1,1,0.989066869000622,0.5762076600877131,0.9980827386530957,0.85,0.85,True
test:5634,D,D,D,1,1,0.9995597123339413,1.0,0.9999478192551519,1.0,1.0,True
test:566,B,A,A,0,0,0.9999336966988871,0.8187533190698378,0.9999929583005531,0.95,0.95,True
test:5704,A,A,D,1,0,0.9995119630427308,0.07678032766449217,0.9999422595904109,0.4,0.4,True
test:5707,C,C,D,1,0,0.8987909348611071,0.4890359525563188,0.9727239655448991,0.8,0.8,True
test:6109,C,B,B,0,0,0.9993298377286773,0.21452470277266567,0.9999145160608895,0.6000000000000001,0.6000000000000001,True
test:614,C,C,C,1,1,0.9999933584522114,0.4041199259095133,0.9999994395425871,0.75,0.75,True
test:616,B,B,A,1,0,0.999124339425195,0.0,0.9998904370287918,0.25,0.25,True
test:6236,A,B,B,0,0,0.990332437643809,0.20226907788083914,0.9982990608861534,0.6,0.6,True
test:624,C,A,B,0,0,0.9322552477910404,0.21452470277266567,0.9848743893465539,0.6000000000000001,0.6000000000000001,True
test:6376,B,B,B,1,1,0.7104064686424862,0.5762076600877131,0.8625933376793167,0.85,0.85,True
test:6500,A,A,A,1,1,0.9887516826618679,0.7526037328446862,0.9978544946551973,0.9223300970873787,0.9223300970873786,True
test:6521,A,A,A,1,1,0.9999309618586512,0.4041199259095133,0.9999931410344941,0.75,0.75,True
test:6639,C,C,C,1,1,0.9999165332628346,0.4041199259095133,0.9999913704659764,0.75,0.75,True
test:6864,C,D,D,0,0,0.9913405572653279,0.07678032766449217,0.9986078336871342,0.4,0.4,True
test:6908,D,C,C,0,0,0.6055674107889936,0.8790296335733946,0.7912842135150794,0.97,0.97,True
test:6946,C,A,A,0,0,0.5408535112917455,0.8809751005234746,0.6677326896299516,0.9705882352941178,0.9705882352941176,True
test:7001,D,B,B,0,0,0.9580480973110888,0.21452470277266567,0.9895499814489781,0.6000000000000001,0.6000000000000001,True
test:7005,C,C,C,1,1,0.9242215003265486,0.01452470277266571,0.9804942411636978,0.3,0.3,True
test:7325,C,C,C,1,1,0.9999443850945792,1.0,0.9999944499739025,1.0,1.0,True
test:7387,C,A,A,0,0,0.9872941716405917,0.8187533190698378,0.9976571341265732,0.95,0.95,True
test:8333,D,D,D,1,1,0.9999795547313021,0.5762076600877131,0.9999981411497834,0.85,0.85,True
test:86,A,A,A,1,1,0.9962689327490548,1.0,0.9993851545652176,1.0,1.0,True
test:8622,D,C,C,0,0,0.9995854544484447,0.4890359525563188,0.9999496004820886,0.8,0.8,True
test:8769,D,D,C,1,0,0.9604173979085338,0.5762076600877131,0.9904019725763205,0.85,0.85,True
test:8859,D,B,B,0,0,0.7709281875664286,0.6912284383439926,0.9216606202773054,0.9,0.9,True
test:9021,D,D,C,1,0,0.9797832665163102,0.5762076600877131,0.9956544085865301,0.85,0.85,True
test:9042,D,D,D,1,1,0.48495817376122874,0.5762076600877131,0.7523807847677265,0.85,0.85,True
test:9124,C,C,C,1,1,0.9982195804269212,0.5762076600877131,0.9997439145983484,0.85,0.85,True
test:9328,D,D,B,1,0,0.7412761868283462,0.5762076600877131,0.9032552065121487,0.85,0.85,True
test:9615,B,C,C,0,0,0.9999753527453613,0.4890359525563188,0.9999976596301582,0.8,0.8,True
test:965,D,D,C,1,0,0.9996470556087037,0.4041199259095133,0.9999558273408032,0.75,0.75,True
test:992,C,C,C,1,1,0.9990745970077184,0.10888564054309924,0.9998811316254134,0.45000000000000007,0.45000000000000007,True
test:9927,D,D,D,1,1,0.994258611507695,0.4890359525563188,0.9989969518728896,0.8,0.8,True
test:9997,D,D,C,1,0,0.9999798364136423,0.5762076600877131,0.9999981228884096,0.85,0.85,True
